81,59,-6557599369957653009
81,60,8776329240782672172
81,61,4355799056987657857
84,59,5224922589627006268
84,60,7628877184361600140
84,61,4356359347210115103
83,62,-6318552632566804706
82,62,3682162888118085432
84,62,6799029967562858991
81,62,4240887399949110173
82,63,-9155521842651661845
81,63,4113510403811207870
83,63,3475466025183480195
84,63,-2769159966483557943
83,64,1319208081075670636
82,64,7646014432645076429
81,64,1221723175116096694
84,64,-806787079707955783
85,62,1016542159099894220
85,63,-8498812405583665030
85,64,-505546032921680802
86,62,2534722590730281216
86,63,-7615546192301855860
86,64,-6756531194375602801
85,61,-2270967279093216409
86,61,7375704143650750822
87,62,-6932033972788419549
87,63,5752637404092021041
87,64,-1520498635751646131
85,65,5153821749430682594
86,65,-6587712239575295525
87,65,2779548468339162506
86,66,-627915659416294628
85,66,3255454444708671162
87,66,7851100929388104729
86,67,-3773816147121304825
85,67,-4267092354587082429
87,67,-5860334771358223745
87,68,5819589397156062046
86,68,6580671239082116235
85,68,-7212743878991429199
88,66,4494070055509057495
88,67,-3614476495163575061
88,68,4057422442144531666
86,69,-5964904597622747293
87,69,-5849545847382030007
88,69,-7748712241115735643
89,67,4140078374551857317
89,68,441835548470564992
89,69,6583488913233222714
87,70,341238028943977380
86,70,5487362226328884463
88,70,-1869187872913087778
89,70,3109786885707635667
88,71,2736175355297162901
87,71,-4287820714728694122
89,71,8884804560434764498
88,72,6572650373252727242
89,72,694265407613292216
87,72,1632498195810337944
88,73,-7930688102367684433
87,73,6829144530062438879
89,73,2240085426188193193
90,71,-8815552628530147353
90,72,-2172109613937714325
90,73,-6849222679953766500
89,74,8072169332346576787
88,74,-1535457367335977239
90,74,-1049365846924180939
88,75,-2876797566275659019
90,75,8421104916887295649
89,75,-5180181315660388101
91,74,-92221303376060618
91,75,-6527920817591005724
91,73,3400465190601122101
89,76,4928470063632013429
90,76,3642939229806297312
91,76,-8079615012510080081
90,77,3302802560377604561
89,77,1474654255513600589
91,77,6995194031592143867
89,78,3782965839091384715
91,78,7284502136510772284
90,78,-6845135837078882851
92,76,-4948114329052165129
92,77,8885952927237090116
92,78,1405098060393061534
90,79,-2261972021037534626
91,79,1823749760499045265
92,79,-5794299970993467774
89,79,4734354020009938
88,77,18920002470674751
88,79,-5427043795237992211
88,78,805522761152161726
89,80,520380203132094916
88,80,8903185491696760717
90,80,-200081769684649115
87,78,5618342499337748975
87,79,-4424884916720225454
87,80,-5095393058557029700
88,81,3169130455912325523
89,81,-4224175255529183098
90,81,-6039390944519872712
89,82,-541991520424389779
88,82,6459962054250926626
90,82,1121880298109358384
87,82,-1334422112725960798
87,81,-7675541545243980520
88,83,4688655093237766293
87,83,6086504928644601950
89,83,8817274319774880849
86,83,4282733136591358445
86,81,-7668545727188331561
86,82,1572793539540007981
86,80,-5711297727989751571
85,82,-1856996691119489334
85,83,-567953260635582753
85,81,5815057086266084117
85,84,781132716774554500
86,84,3040869534640664732
87,84,8912845557803231891
88,84,6049742969191293449
84,82,-3788986930724244028
84,83,-8777107353015481280
84,84,4313243225994036241
85,85,3943738383861153423
86,85,6382927393058459370
87,85,5704214272416578690
84,85,-4943337067557659163
83,84,-1010091256321459566
83,85,1177026364486537588
83,83,2306681012574376643
83,86,-449367893153939746
85,86,-6723035666918368008
84,86,6960790306424568708
82,84,3283809421193211277
82,85,1718413880702237491
82,86,-5979303409574005384
82,83,-3000920942918038224
82,82,-5844978640097867315
83,82,-4512617540089591470
81,84,-8736141171341688101
81,83,6353339181550103928
81,85,8132134132099195369
80,83,1748853090925763842
80,85,-2376814234622030122
80,84,6123550002009412504
81,86,457604957076085348
80,86,-4519117906936813702
81,87,7861191187495856444
82,87,2558127556498146701
83,87,-8989498969747494562
84,87,-6943664463447939428
88,85,8353214032758155251
89,84,2510334843595847628
89,85,1051542090499327798
87,86,-7922599993354786110
88,86,-2254579808138394355
86,86,6616620485191286547
90,83,-1973071582452551692
90,84,-4654559108132911748
91,82,7547613677028760508
91,83,-4090596730853372172
91,84,-7265913391492477243
92,83,2349478088824866990
92,82,-514334428434402627
92,84,359470190097499779
91,81,2120952964724685980
92,81,3948159925706793635
93,82,-6397568608944045908
93,81,-8550441766971742982
93,83,631999453427777637
91,80,-6506906126486379439
93,80,-3741554887782142739
92,80,-2964341763648004484
85,55,8124390122119095126
84,55,-8293325762824496001
85,54,-7613516354475849739
84,54,-7178160020202289814
86,55,7857180814303960152
85,56,2143965987316953371
86,54,1967013288595542643
84,56,-1199471969709933272
86,56,137071866704184039
83,54,8632426982858122787
83,55,6415287651955667315
83,56,5779125138773688203
85,57,3752041995467918509
84,57,8297174832289569032
86,57,-6709493492049797177
85,58,5529588039844724935
84,58,-4760338838977344225
86,58,-8923734928201857237
83,57,-5070127638244906430
83,58,-3874799281177397920
85,59,-8286407797598786080
83,59,4862377868554145993
86,59,-8755871939143674047
85,60,-2053466655055857417
